Item,Frequency,Relative frequency
"mór",91188,2654.03374
"maith",73930,2151.73833
"beag",40871,1189.55359
"amháin",40383,1175.35032
"te",27903,812.11896
"nua",22154,644.79387
"céanna",22125,643.94982
"leor",20182,587.39866
"fada",19369,563.73623
"ceart",18849,548.60159
"léir",18320,533.20501
"óg",18219,530.26539
"éigin",15901,462.79983
"áirigh",12240,356.24614
"náisiúnta",11591,337.35695
"éagsúil",11202,326.03507
"sásta",10418,303.21669
"ard",10345,301.09202
"cóir",10303,299.86961
"áitiúil",10279,299.17108
"iomlán",9829,286.07380
"minic",9614,279.81621
"áirithe",9598,279.35053
"cosúil",9171,266.92266
"díreach",8896,258.91876
"luath",8708,253.44701
"breá",8512,247.74241
"tábhachtach",8410,244.77370
"déan",8323,242.24155
"poiblí",7955,231.53089
"láidir",7596,221.08216
"caith",7558,219.97617
"dubh",7205,209.70208
"ionann",7040,204.89974
"cinnte",6902,200.88324
"cuir",6794,197.73989
"bocht",6476,188.48448
"sóisialta",6420,186.85459
"dócha",6232,181.38284
"deireanach",6200,180.45148
"cuí",6181,179.89848
"fóill",5990,174.33941
"mó",5945,173.02968
"speisialta",5920,172.30205
"uile",5697,165.81162
"iontach",5640,164.15263
"úr",5397,157.08010
"deacair",5394,156.99278
"idirnáisiúnta",5201,151.37550
"bán",5018,146.04928
"réidh",5006,145.70001
"fíor",5004,145.64180
"aontaigh",5003,145.61270
"oifigiúil",4939,143.74997
"beo",4884,142.14920
"gearr",4848,141.10141
"páirteach",4632,134.81472
"álainn",4573,133.09752
"déanach",4521,131.58405
"géar",4512,131.32211
"olc",4406,128.23697
"saor",4351,126.63619
"soiléir",4251,123.72568
"pearsanta",4242,123.46374
"lán",4201,122.27043
"deas",4183,121.74654
"bunaigh",4062,118.22482
"dearg",4045,117.73004
"geal",4031,117.32256
"dár",4012,116.76957
"forbair",4006,116.59494
"daonna",3995,116.27478
"imigh",3966,115.43073
"gairid",3920,114.09190
"gaelach",3840,111.76349
"polaitiúil",3831,111.50155
"céad",3775,109.87166
"mall",3758,109.37688
"deimhin",3619,105.33127
"ábalta",3617,105.27306
"ginearálta",3604,104.89470
"riachtanach",3595,104.63275
"cinn",3557,103.52676
"rialta",3541,103.06108
"leathan",3536,102.91555
"glan",3508,102.10061
"uasal",3409,99.21921
"cruinn",3385,98.52068
"láithreach",3370,98.08411
"fuar",3302,96.10496
"ciúin",3239,94.27134
"coitianta",3107,90.42947
"nádúrtha",3040,88.47943
"íseal",2959,86.12192
"slán",2937,85.48161
"déanta",2932,85.33609
"domhanda",2930,85.27788
"trom",2870,83.53157
"éifeachtach",2868,83.47336
"maithe",2834,82.48379
"aisteach",2808,81.72706
"bunúsach",2783,80.99943
"suntasach",2733,79.54417
"tar",2717,79.07849
"scríobh",2699,78.55460
"gar",2697,78.49639
"dona",2660,77.41950
"cultúrtha",2602,75.73141
"príobháideach",2600,75.67320
"bog",2591,75.41125
"miste",2587,75.29483
"crua",2560,74.50900
"tabhair",2552,74.27616
"oiriúnach",2517,73.25748
"iomchuí",2515,73.19927
"marbh",2488,72.41343
"leanúnach",2459,71.56938
"simplí",2419,70.40518
"neamhspleách",2416,70.31787
"sean",2411,70.17234
"cuma",2401,69.88129
"traidisiúnta",2392,69.61934
"gorm",2352,68.45514
"dílis",2321,67.55288
"cúramach",2314,67.34915
"iomaí",2287,66.56331
"éasca",2263,65.86479
"glas",2245,65.34090
"difriúil",2194,63.85654
"freagrach",2185,63.59459
"furasta",2176,63.33265
"cosain",2103,61.20798
"tobann",2096,61.00424
"ceithre",2057,59.86914
"gnóthach",2054,59.78183
"faigh",2050,59.66541
"buan",2038,59.31615
"bliantúil",2029,59.05420
"eacnamaíoch",2000,58.21015
"Caitliceach",1990,57.91910
"gnách",1978,57.56984
"dian",1957,56.95864
"lasmuigh",1949,56.72579
"dorcha",1942,56.52206
"buí",1918,55.82354
"aitheanta",1901,55.32875
"oscailte",1878,54.65933
"bain",1877,54.63023
"liteartha",1876,54.60112
"gníomhach",1874,54.54291
"tirim",1868,54.36828
"caol",1864,54.25186
"folamh",1845,53.69887
"fág",1834,53.37871
"domhain",1832,53.32050
"cáiliúil",1819,52.94213
"fairsing",1818,52.91303
"acmhainneach",1816,52.85482
"garbh",1809,52.65108
"abair",1788,52.03988
"uafásach",1779,51.77793
"daingean",1768,51.45778
"naofa",1762,51.28315
"sóisialach",1762,51.28315
"clé",1735,50.49731
"sonrach",1734,50.46820
"suigh",1724,50.17715
"lag",1696,49.36221
"deonach",1692,49.24579
"spéisiúil",1688,49.12937
"lárnach",1686,49.07116
"leag",1666,48.48906
"forleathan",1649,47.99427
"cáiligh",1632,47.49949
"stairiúil",1621,47.17933
"suimiúil",1612,46.91738
"fásta",1607,46.77186
"gránna",1607,46.77186
"iondúil",1600,46.56812
"míleata",1593,46.36439
"anuraidh",1573,45.78229
"sibhialta",1560,45.40392
"saibhir",1554,45.22929
"gairmiúil",1521,44.26882
"caite",1520,44.23972
"casta",1503,43.74493
"teoranta",1491,43.39567
"tinn",1487,43.27925
"liath",1475,42.92999
"réigiúnach",1474,42.90088
"buíoch",1468,42.72625
"cuimsitheach",1467,42.69715
"dírigh",1459,42.46431
"eachtrach",1453,42.28968
"sealadach",1449,42.17326
"aniar",1421,41.35831
"straitéiseach",1406,40.92174
"laethúil",1403,40.83442
"at",1403,40.83442
"tóg",1397,40.65979
"praiticiúil",1355,39.43738
"cáilitheach",1350,39.29185
"socair",1315,38.27318
"daonlathach",1315,38.27318
"trua",1310,38.12765
"fiáin",1310,38.12765
"sinsearach",1306,38.01123
"aoibhinn",1305,37.98213
"cóngarach",1298,37.77839
"tréan",1287,37.45823
"inmheánach",1286,37.42913
"dáiríre",1279,37.22539
"grinn",1277,37.16718
"tuirseach",1266,36.84703
"mín",1262,36.73061
"uaigneach",1261,36.70150
"cumasach",1245,36.23582
"tíor",1242,36.14851
"ceangail",1230,35.79924
"mion",1230,35.79924
"salach",1229,35.77014
"lom",1229,35.77014
"ríoga",1216,35.39177
"síor",1214,35.33356
"dlúth",1211,35.24625
"pósta",1209,35.18804
"rua",1208,35.15893
"suarach",1208,35.15893
"binn",1192,34.69325
"amárach",1192,34.69325
"buartha",1191,34.66415
"acadúil",1174,34.16936
"tapa",1152,33.52905
"luachmhar",1147,33.38352
"sásúil",1126,32.77232
"fliuch",1120,32.59769
"briste",1112,32.36485
"galánta",1107,32.21932
"sín",1106,32.19021
"labhair",1105,32.16111
"nua-aimseartha",1100,32.01558
"lonnaigh",1099,31.98648
"Ceilteach",1092,31.78274
"dúchasach",1088,31.66632
"cas",1079,31.40438
"dátheangach",1077,31.34617
"cinnteach",1075,31.28796
"síoraí",1067,31.05512
"reachtúil",1063,30.93870
"daite",1063,30.93870
"sona",1056,30.73496
"breac",1054,30.67675
"contúirteach",1053,30.64765
"soir",1049,30.53123
"cruthaitheach",1043,30.35660
"suite",1039,30.24017
"cónaigh",1024,29.80360
"donn",1015,29.54165
"rúnda",1013,29.48344
"cumhachtach",1007,29.30881
"bailigh",1004,29.22150
"dearfach",1001,29.13418
"dúnta",999,29.07597
"ábhartha",999,29.07597
"inné",997,29.01776
"oscail",995,28.95955
"teicniúil",994,28.93045
"comhairleach",984,28.63940
"gasta",983,28.61029
"órga",983,28.61029
"bréagach",982,28.58119
"beartaigh",976,28.40655
"macánta",961,27.96998
"Oilimpeach",958,27.88266
"lánaimseartha",952,27.70803
"réasúnach",949,27.62072
"fánach",942,27.41698
"sábháilte",942,27.41698
"aréir",935,27.21325
"tuill",929,27.03862
"bríomhar",926,26.95130
"luaigh",920,26.77667
"caill",916,26.66025
"coiriúil",913,26.57294
"fostaigh",912,26.54383
"leictreach",907,26.39830
"Críostaí",903,26.28188
