"Reference","Left","KWIC","Right"
"doc#27","EILE </s><s> Bróg Khruschev </s><s> Ba dhuine de bhailitheoirí móra na Breataine agus na hÉireann é Randal - de réir bhéaloideas","a","aicme féin - agus tóir ag a ceathair nó a cúig de mhúsaeim sna Stáit Aontaithe ar an gcuid ba shuaithinsí , dar leo , dá"
"doc#27","<s> Ba dhuine de bhailitheoirí móra na Breataine agus na hÉireann é Randal - de réir bhéaloideas a aicme féin - agus tóir ag","a","ceathair nó a cúig de mhúsaeim sna Stáit Aontaithe ar an gcuid ba shuaithinsí , dar leo , dá bhailiúchán uathúil , ach is"
"doc#27","bhailitheoirí móra na Breataine agus na hÉireann é Randal - de réir bhéaloideas a aicme féin - agus tóir ag a ceathair nó","a","cúig de mhúsaeim sna Stáit Aontaithe ar an gcuid ba shuaithinsí , dar leo , dá bhailiúchán uathúil , ach is túisce a"
"doc#27","nó a cúig de mhúsaeim sna Stáit Aontaithe ar an gcuid ba shuaithinsí , dar leo , dá bhailiúchán uathúil , ach is túisce","a","scarfadh sé lena anam ná leis an mír ba neamhfheiceálaí dá chnuasach . </s><s> Fear ab ea é ná ligfeadh riamh dá bhraistintí ná do"
"doc#27","an mír ba neamhfheiceálaí dá chnuasach . </s><s> Fear ab ea é ná ligfeadh riamh dá bhraistintí ná do chúrsaí faisin aon bhogadh","a","dhéanamh ar a bhreith ach tuairiscí clóscríofa a chuid gníomhairí ar an gcoigríoch a mheas go réidh fuarchúiseach . </s><s> Má"
"doc#27","dá chnuasach . </s><s> Fear ab ea é ná ligfeadh riamh dá bhraistintí ná do chúrsaí faisin aon bhogadh a dhéanamh ar","a","bhreith ach tuairiscí clóscríofa a chuid gníomhairí ar an gcoigríoch a mheas go réidh fuarchúiseach . </s><s> Má ba"
"doc#27","ea é ná ligfeadh riamh dá bhraistintí ná do chúrsaí faisin aon bhogadh a dhéanamh ar a bhreith ach tuairiscí clóscríofa","a","chuid gníomhairí ar an gcoigríoch a mheas go réidh fuarchúiseach . </s><s> Má ba speisialtóirí sa chuid is mó iad na"
"doc#27","ná do chúrsaí faisin aon bhogadh a dhéanamh ar a bhreith ach tuairiscí clóscríofa a chuid gníomhairí ar an gcoigríoch","a","mheas go réidh fuarchúiseach . </s><s> Má ba speisialtóirí sa chuid is mó iad na bailitheoirí mór le rá agus a gcuid gníomhairí a"
"doc#27","ar an gcoigríoch a mheas go réidh fuarchúiseach . </s><s> Má ba speisialtóirí sa chuid is mó iad na bailitheoirí mór le rá agus","a","gcuid gníomhairí a raibh aithne shúl nó clostrácht aige orthu , cáil na héagsúlachta agus na hindibhidiúlachta a bhí ar"
"doc#27","a mheas go réidh fuarchúiseach . </s><s> Má ba speisialtóirí sa chuid is mó iad na bailitheoirí mór le rá agus a gcuid gníomhairí","a","raibh aithne shúl nó clostrácht aige orthu , cáil na héagsúlachta agus na hindibhidiúlachta a bhí ar a bhailiúchán"
