"Reference","Left","KWIC","Right"
"doc#7","'' . </s><s> I mo chuideachta inniu tá Seán Ó Gallachóir nó John Hiúdaí as Cill Ullta , iarmhúinteoir scoile . </s><s> Tá fáilte romhat ,","a","John . </s><s> An raibh tú i gcónaí ag iarraidh a bheith i do mhúinteoir ? </s><s> Bhuel , is doiligh domh a ráit go raibh , nó tá cuimhne"
"doc#7","nó John Hiúdaí as Cill Ullta , iarmhúinteoir scoile . </s><s> Tá fáilte romhat , a John . </s><s> An raibh tú i gcónaí ag iarraidh","a","bheith i do mhúinteoir ? </s><s> Bhuel , is doiligh domh a ráit go raibh , nó tá cuimhne mhaith agam nuair a chríochnaigh mé i"
"doc#7","scoile . </s><s> Tá fáilte romhat , a John . </s><s> An raibh tú i gcónaí ag iarraidh a bheith i do mhúinteoir ? </s><s> Bhuel , is doiligh domh","a","ráit go raibh , nó tá cuimhne mhaith agam nuair a chríochnaigh mé i gColáiste Phádraig i nDromcondra sa bhliain naoi"
"doc#7","tú i gcónaí ag iarraidh a bheith i do mhúinteoir ? </s><s> Bhuel , is doiligh domh a ráit go raibh , nó tá cuimhne mhaith agam nuair","a","chríochnaigh mé i gColáiste Phádraig i nDromcondra sa bhliain naoi gcéad déag ceathracha is a trí . </s><s> Cha raibh smaointiú"
"doc#7","mhaith agam nuair a chríochnaigh mé i gColáiste Phádraig i nDromcondra sa bhliain naoi gcéad déag ceathracha is","a","trí . </s><s> Cha raibh smaointiú ar bith agam a ghabháil le múinteoireacht san am sin agus mé críochnaithe mar ... tamalt roimhe"
"doc#7","mé i gColáiste Phádraig i nDromcondra sa bhliain naoi gcéad déag ceathracha is a trí . </s><s> Cha raibh smaointiú ar bith agam","a","ghabháil le múinteoireacht san am sin agus mé críochnaithe mar ... tamalt roimhe sin , nó bliain roimhe sin , bhí mé ag"
"doc#7","sin , nó bliain roimhe sin , bhí mé ag obair ag Bord na Móna i gContae Chill Dara agus ... bhí ... bhain mé an-sásamh as an jab","a","bhí agam ansin . </s><s> Chan obair shaortha a bhí agam . </s><s> Bhí mé ag obair istigh san oifig , agus amuigh os cionn na bhfear , an"
"doc#7","ag Bord na Móna i gContae Chill Dara agus ... bhí ... bhain mé an-sásamh as an jab a bhí agam ansin . </s><s> Chan obair shaortha","a","bhí agam . </s><s> Bhí mé ag obair istigh san oifig , agus amuigh os cionn na bhfear , an dtuigeann tú , anois is aríst , agus amuigh"
"doc#7",". </s><s> Bhí mé ag obair istigh san oifig , agus amuigh os cionn na bhfear , an dtuigeann tú , anois is aríst , agus amuigh ag tomhas","a","gcuid oibre . </s><s> Sin anois an jab a bhí agam , agus bhain mé an-phléisiúr as , agus nuair a bhí mé ag fágáil ansin , dúirt an"
"doc#7",", agus amuigh os cionn na bhfear , an dtuigeann tú , anois is aríst , agus amuigh ag tomhas a gcuid oibre . </s><s> Sin anois an jab","a","bhí agam , agus bhain mé an-phléisiúr as , agus nuair a bhí mé ag fágáil ansin , dúirt an príomhinnealtóir liom , am ar bith a"
