"Reference","Left","KWIC","Right"
"doc#8","Gaillimhe agus i Leabharlann Náisiúnta na hÉireann . </s><s> Tá buíochas speisialta ag gabháil do chlann Mháiréad Ní Ghráda ,","go","mór mór a mac Séamas Ó Ciosáin agus a garmhac Éamon Ó Ciosáin . </s><s> Thug an bheirt acu an-chuid eolais dom agus an-chabhair"
"doc#8","agus an-chabhair agus mé i mbun oibre . </s><s> An-bhuíoch atá mé do chuile dhuine sa rang M . </s><s> Phil agus cairde eile san ollscoil","go","mór mór Linda Mac Andrews , Karina Tarrant , Davnet Mac Ellin , Kerry Mac Loughlin , Kelly Curran , Máire Ní Choileáin is"
"doc#8","anois ar Mháiréad Ní Ghráda ní hamháin mar gheall ar an mbaint a bhí aici le cúrsaí drámaíochta ach mar gheall ar","go","ndearna sí a cion ar son litríocht na Gaeilge chomh maith . </s><s> Chaith sí na blianta ag obair mar eagarthóir don chomhlacht"
"doc#8","d'' Amharclann na Mainistreach agus mar sin tá stíl faoi leith ag baint leo . </s><s> Gearrdhrámaí is ea an chuid is mó acu toisc","go","raibh polasaí i bhfeidhm ag an am na drámaí Gaeilge a léiriú tar éis an phríomhdhráma Bhéarla . </s><s> Ní bhfuair Máiréad an"
"doc#8","sí a cáil amach , taispeántar gur ghlac a gearrdhrámaí páirt thábhachtach i bhforbairt na drámaíochta chomh maith . </s><s>","Go","dtí seo níor scríobhadh mórán faoi Mháiréad Ní Ghráda seachas aiste lena garmhac Éamon Ó Cíosáin '' Máiréad Ní Ghráda"
"doc#8","ach níorbh é Tomás Mac Anna a léirigh . </s><s> Aontaím le Pádraig Ó Siadhail gur cheart Ríté a bheith sa ghrúpa seo chomh maith , cé","go","bhfuil sé rangaithe ag Ó Ciosáin mar dhráma do pháistí . </s><s> ( F.D.G. ) Ba cheart go mbeadh sé sa ghrúpa seo ós rud é gur léiríodh"
"doc#8","Ríté a bheith sa ghrúpa seo chomh maith , cé go bhfuil sé rangaithe ag Ó Ciosáin mar dhráma do pháistí . </s><s> ( F.D.G. ) Ba cheart","go","mbeadh sé sa ghrúpa seo ós rud é gur léiríodh é do lucht féachana fásta i 1955, ach is eisceacht é ós rud é nár léiríodh sa"
"doc#8","ina aiste Máiréad Ní Ghráda agus a Saothar Liteartha gur in 1899 a rugadh í . </s><s> Tá an dáta ceart ag Breathnach , áfach . </s><s> Ós rud é","go","raibh an dáta mícheart ag a garmhac , léiríonn sin gur dhuine í nár thaitin léi a haois a sceitheadh . </s><s> Ar agallamh raidió le"
"doc#8","le máistir eile ón scoil agus leis an méid airgid a bhí fágtha . </s><s> Ina dhiaidh sin chaith Máiréad thart ar dhá bhliain","go","leith i dtosach mar thimire agus ansin mar Rúnaí ag Earnán de Blaghad sa Chéad Dáil agus i rith an Chogaidh Chathartha . </s>"
"doc#8",": </s><s> Sinn na cailíní ( sic ) bhímis i gCumann na mBan agus bhímis ag druileáil agus ag déanamh '' first aid kits '' agus mar sin de ,","go","tuathalach is dócha agus go diail ní foláir , ach bhíomar ag déanamh ár ndíchill ar aon nós ( agallamh Aedín Ní Chaoimh ) . </s>"
"doc#8","i gCumann na mBan agus bhímis ag druileáil agus ag déanamh '' first aid kits '' agus mar sin de , go tuathalach is dócha agus","go","diail ní foláir , ach bhíomar ag déanamh ár ndíchill ar aon nós ( agallamh Aedín Ní Chaoimh ) . </s><s> San agallamh céanna déanann"
"doc#8","chomh corraithe ó thaobh cúrsaí polaitíochta de a bhí an Ollscoil , fad agus a bhí sí ann : </s><s> B'' in é an tráth , is cuimhin liom ,","go","raibh an corraí ar siúl ins an Chathair . </s><s> Bhí a lán de na buachaillí san I.R.A. agus bhídís ag dul amach sna Catha ( sic ) agus"
"doc#8","raibh baint aici le Conradh na Gaeilge , freagraíonn sí : </s><s> Ó bhíos i gConradh na Gaeilge , sea bhíos sa Chonradh ó tháinig mé","go","Baile Átha Cliath den chéad lá riamh . </s><s> Sa bhliain 1920 cuireadh isteach i bPríosún Mountjoy í ar feadh tamaill ghearr . </s><s> ("
"doc#8","i bPríosún Mountjoy í ar feadh tamaill ghearr . </s><s> ( Nóta báis Irish Times , 14ú Meitheamh 1971 ) . </s><s> Rinneadh é seo toisc","go","raibh sí '' ag cur cosc ar an trácht i Sráid Grafton '' ( Ní Chaoimh ) . </s><s> Bhí sí ag díol bratach ar Shráid Grafton le haghaidh"
"doc#8","iad agus is ansin a d'' fhan siad go dtí gur scaoileadh amach iad nuair a dúirt dochtúir éigin nach raibh an tsláinte","go","maith acu . </s><s> Tógadh a bpictiúir ina dhiaidh sin agus cuireadh go Méiriceá iad . </s><s> Bhreathnaigh daoine orthu mar"
"doc#8","iad nuair a dúirt dochtúir éigin nach raibh an tsláinte go maith acu . </s><s> Tógadh a bpictiúir ina dhiaidh sin agus cuireadh","go","Méiriceá iad . </s><s> Bhreathnaigh daoine orthu mar bhanlaochra , tar éis na heachtra sin . </s><s> Dar le Máiréad , áfach , bhí"
"doc#8","fhada ina dhiaidh seo . </s><s> Bhí an-suim aici sa teanga agus is minic a bhíodh éadóchas uirthi maidir léi : </s><s> Dúirt sí uair amháin","go","raibh áthas uirthi nár bhain sí leis an nglúin a chaillfeadh an Ghaeilge go deo - chuir smaoineamh ar Éire gan Ghaeilge"
