"Reference","Left","KWIC","Right"
"doc#27","chúrsaí faisin aon bhogadh a dhéanamh ar a bhreith ach tuairiscí clóscríofa a chuid gníomhairí ar an gcoigríoch a mheas","go","réidh fuarchúiseach . </s><s> Má ba speisialtóirí sa chuid is mó iad na bailitheoirí mór le rá agus a gcuid gníomhairí a raibh"
"doc#27","95,000 dollar air ? </s><s> Má fuair níor fhreagair sé an facs . </s><s> Facsanna óna ghníomhairí amháin a d'' fhreagraíodh sé . </s><s> Deirtear","go","mba bhailitheoir cruthanta é Randal ó baineadh den chíoch é . </s><s> Bhailíodh sé maidí líreacáin , boscaí lasán , rollaí"
"doc#27","mháthar . </s><s> Gach aon ní riamh dár bhailigh sé agus a phraghas ( má bhí ) , ionad bailithe , agus an dáta , bhí siad breactha síos","go","deas néata aige i mórleabhar cuntas . </s><s> Iad siúd atá ar an eolas , deir siad gur fiú cnap deas cheana féin an leabhar sin , gan"
"doc#27",". </s><s> Fort Knox an leasainm a bhí ag a chomhbhailitheoirí ar an árasán scópúil aige i nDroichead na Dothra . </s><s> Thuigfeá as sin","go","mba bhailitheoir glas é chomh maith le gach ní eile , glas don gheata , glas don doras , glas lámh , gan trácht ar an ngléas a"
"doc#27",", ar ghrianghrafadóirí - seachas na máistrí , ar ndóigh , a bhailíodh sé - agus ar lucht ráflaíochta . </s><s> Beag an baol","go","bhfaighidh na bligeaird sin amach faoi bhróg Khruschev , an bhróg úd a bhain an ceannaire Sóivéadach de gur thug batráil"
"doc#27","leis í i bpóca a chasóige , i ngan fhios don saol , i ngan fhios d'' iriseoirí . </s><s> Ach IRP60 sa bhreis a thabhairt di , cá bhfios ná","go","ligfeadh an striapach dó a tóinín bhuí a leadradh le bróg Khruschev ar an gcéad lá breithe eile aige . </s><s> Ó , a Mhaighdean , nár"
"doc#27","sé ar an gcéad eitleán eile . </s><s> D'' aithin sé roinnt dá chomhbhailitheoirí sa chathair ársa sin agus iad ag póirseáil thart","go","haerach , ina dturasóirí mar dhea . </s><s> Gníomhaire McGregor cén t-ainm atá air , gamal ó Ghlaschú , agus Kleinstein féin ó"
"doc#27","bróg Nikita Khruschev aige ina sheilbh . </s><s> Beidh a dhá oiread uirthi roimh dheireadh an chéid . </s><s> Bíodh - ní scarfaidh sé léi","go","brách . </s><s> Mhóidigh na Rúisigh '' dar cnámha an tSáir '' nach n-inseoidís do Chríostaí beo ná marbh cé a cheannaigh an bhróg"
"doc#27",". </s><s> Bhí ciall cheannaithe ag Mafia na Rúise faoin am sin , iad sách stuama agus gan a thitim amach lena chuid gníomhairí , nó","go","deimhin , leis féin nó bailitheoir bona fide ar bith . </s><s> Bob a bhualadh air ? </s><s> Ó aimsir '' Dhialanna Hitler '' bhí an dá thaobh ,"
"doc#27","sé a fháil ar na cáipéisí . </s><s> Tar éis dó féin agus na gníomhairí an fhianaise a sheiceáil agus a athsheiceáil , ba ríléir","go","mba í bróg Khruschev a bhí aige gan aon agó . </s><s> Ní fhéadfadh sé é a mhíniú i gceart dó féin ach ar chuma éigin ba é buaic a shaoil"
"doc#27","sin a deineadh i bPrág . </s><s> Stáisiúin na Croise , umair ghreanta baiste , orgáin fiú amháin . </s><s> Nithe mar sin a bhí ag teastáil","go","géar ó McGregor agus Kleinstein agus a fhios acu go ndúnfadh na doirse orthu go luath . </s><s> Bíodh acu - cén gnó a bheadh"
"doc#27","ghreanta baiste , orgáin fiú amháin . </s><s> Nithe mar sin a bhí ag teastáil go géar ó McGregor agus Kleinstein agus a fhios acu","go","ndúnfadh na doirse orthu go luath . </s><s> Bíodh acu - cén gnó a bheadh aigesean le fuinneoga gloinedhaite , le mósáic"
"doc#27","fiú amháin . </s><s> Nithe mar sin a bhí ag teastáil go géar ó McGregor agus Kleinstein agus a fhios acu go ndúnfadh na doirse orthu","go","luath . </s><s> Bíodh acu - cén gnó a bheadh aigesean le fuinneoga gloinedhaite , le mósáic thaobh-altóra . </s><s> Nithe a raghadh"
"doc#27","go dtí an lá atá inniu conas a d'' éirigh le Kleinstein an phuilpid sin ( ón gcúigiú haois déag ) a thabhairt ar ais leis","go","Pittsburgh . </s><s> Dhera , bíodh aige , é féin is a phuilpid darach agus go dtite sí anuas air ! </s><s> Thógfadh sé amach í ó am go chéile"
