"query","Query:[lc=""go"" | lemma_lc=""go""] within <doc (dialect=""Ulster"") />"
"Reference","Left","KWIC","Right"
"doc#7","nó binsí eile seachas iad sin nach bhfuil aon leigheas breithiúnach ann in aghaidh a mbreitheanna . </s><s> Tá fáilte romhaibh","go","Doirí Beaga , go dtí eagrán eile de '' Thamalt Comhrá '' . </s><s> I mo chuideachta inniu tá Seán Ó Gallachóir nó John Hiúdaí as Cill"
"doc#7","scoile . </s><s> Tá fáilte romhat , a John . </s><s> An raibh tú i gcónaí ag iarraidh a bheith i do mhúinteoir ? </s><s> Bhuel , is doiligh domh a ráit","go","raibh , nó tá cuimhne mhaith agam nuair a chríochnaigh mé i gColáiste Phádraig i nDromcondra sa bhliain naoi gcéad déag"
"doc#7","as , agus nuair a bhí mé ag fágáil ansin , dúirt an príomhinnealtóir liom , am ar bith a mbeadh suim agam '' theacht","go","Bord na Móna go mbeadh jab ansin fá mo choinne . </s><s> So , nuair a chríochnaigh mise i mo mhúinteoir , bhí seo ar m'' intinn agus bhí"
"doc#7","agus nuair a bhí mé ag fágáil ansin , dúirt an príomhinnealtóir liom , am ar bith a mbeadh suim agam '' theacht go Bord na Móna","go","mbeadh jab ansin fá mo choinne . </s><s> So , nuair a chríochnaigh mise i mo mhúinteoir , bhí seo ar m'' intinn agus bhí obair mhór"
"doc#7","seo ar m'' intinn agus bhí obair mhór agam m'' intinn a dhéanamh suas a ghabháil le múinteoireacht , agus is dóiche dá dtéinn","go","Bord na Móna san am sin nach mbeinn ag múinteoireacht go brách . </s><s> Anois , an raibh tú le Bord na Móna sula deachaigh tú go dtí"
"doc#7","suas a ghabháil le múinteoireacht , agus is dóiche dá dtéinn go Bord na Móna san am sin nach mbeinn ag múinteoireacht","go","brách . </s><s> Anois , an raibh tú le Bord na Móna sula deachaigh tú go dtí an Choláiste , ab é ? </s><s> Bhí mé le Bord na Móna , chuaigh mé le"
"doc#7","tú ceangailte síos mar atá tú istigh in seomra ranga . </s><s> Agus , an dtuigeann tú , bhí cleachtadh agam ar na seomraí ranga ,","go","háirithe i mBaile Átha Cliath , go speisialta , leoga , cuid acu nach raibh ródheas , ins sa Móscoil láir , cuir i gcás , agus"
"doc#7","in seomra ranga . </s><s> Agus , an dtuigeann tú , bhí cleachtadh agam ar na seomraí ranga , go háirithe i mBaile Átha Cliath ,","go","speisialta , leoga , cuid acu nach raibh ródheas , ins sa Móscoil láir , cuir i gcás , agus scoltacha eile , agus bhí"
"doc#7","achan rud orthu agus chuirfeadh sé in éadan múinteoireachta duine . </s><s> So , dá bhrí sin , bhí mé ag brath i gcónaí a ghabháil","go","Bord na Móna aríst , ach idir an dá am , ''s é an rud a tharla nó go bhfuair mé scéala , bhí mé sa bhaile san am , fuair mé scéala ó"
"doc#7","duine . </s><s> So , dá bhrí sin , bhí mé ag brath i gcónaí a ghabháil go Bord na Móna aríst , ach idir an dá am , ''s é an rud a tharla nó","go","bhfuair mé scéala , bhí mé sa bhaile san am , fuair mé scéala ó Uachtarán Choláiste Phádraig , go raibh múinteoir"
"doc#7","dá am , ''s é an rud a tharla nó go bhfuair mé scéala , bhí mé sa bhaile san am , fuair mé scéala ó Uachtarán Choláiste Phádraig ,","go","raibh múinteoir de dhíobháil ar na Bráithre Críostúla i Loch Garman , agus an mbeadh ... </s><s> B'' é seo anois an chéad scoil a"
