"corpus","gaeilge2"
"subcorpus","-"
Item,Frequency,Relative frequency
"duine",139569,4062.16646
"cuid",87840,2556.58995
"bí",80646,2347.20802
"cuir",80029,2329.25019
"bliain",75781,2205.61183
"déan",72190,2101.09549
"ceann",58408,1699.96933
"rud",54178,1576.85485
"Gaeilge",52339,1523.33062
"féidir",50408,1467.12871
"lá",48881,1422.68526
"faigh",46857,1363.77658
"fad",45242,1316.77188
"áit",44602,1298.14464
"am",43221,1257.95052
"fear",41324,1202.73819
"Éire",41141,1197.41196
"obair",41108,1196.45150
"tabhair",40543,1180.00713
"taobh",39928,1162.10751
"céile",38960,1133.93379
"teach",36343,1057.76581
"scéal",35687,1038.67288
"téigh",35297,1027.32190
"tír",35129,1022.43224
"saol",34452,1002.72811
"bith",34260,997.13993
"ceist",32039,932.49756
"bean",29708,864.65362
"fios",28494,829.32006
"uair",28076,817.15414
"pobal",27643,804.55164
"deireadh",27007,786.04081
"comhairle",26675,776.37792
"alt",26138,760.74850
"aghaidh",25884,753.35581
"dóigh",25533,743.13993
"tar",25080,729.95533
"súil",24802,721.86411
"scoil",24306,707.42800
"is",23042,670.63918
"abair",22691,660.42330
"teanga",22658,659.46283
"cás",22600,657.77474
"leith",22396,651.83730
"Baile",22184,645.66702
"ní",22114,643.62967
"oíche",21280,619.35603
"aire",21090,613.82607
"baile",20967,610.24615
"lucht",20577,598.89517
"cúrsa",20570,598.69143
"eolas",20426,594.50030
"méid",20201,587.95166
"caint",19698,573.31180
"gaeltacht",19458,566.32658
"acht",19364,563.59071
"bain",19354,563.29966
"seachtain",19337,562.80487
"feidhm",19266,560.73841
"lámh",19222,559.45779
"roinn",19125,556.63459
"leabhar",19110,556.19802
"ais",18767,546.21498
"mí",18653,542.89700
"ábhar",18155,528.40267
"ceart",18136,527.84967
"bealach",18024,524.58990
"mac",17849,519.49652
"páiste",17800,518.07037
"muintir",17616,512.71503
"airgead",17550,510.79410
"béal",17515,509.77542
"bord",17242,501.82973
"rialtas",17065,496.67814
"diaidh",16713,486.43315
"stát",16678,485.41447
"ainm",16622,483.78459
"athair",16474,479.47704
"dia",16453,478.86583
"seirbhís",16012,466.03049
"clár",15897,462.68341
"talamh",15890,462.47967
"Átha",15678,456.30939
"iarr",15674,456.19297
"focal",15618,454.56309
"tús",15565,453.02052
"úsáid",15504,451.24511
"beirt",15355,446.90845
"fiú",15245,443.70690
"contae",15020,437.15825
"foireann",14993,436.37242
"Cliath",14705,427.99015
"bóthar",14669,426.94237
"cónaí",14564,423.88634
"siúil",14545,423.33334
"ceol",14462,420.91762
"bás",14451,420.59746
"cur",14424,419.81163
